Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
FIAT,MODEL-873,PICKUP TRUCK - STANDARD,3.0,6,AV,D,12.1,10.8,11.5,20,302
BENTLEY,MODEL-450,MID-SIZE,2.0,6,M7,X,10.6,8.5,9.7,24,222
VOLKSWAGEN,MODEL-224,PICKUP TRUCK - STANDARD,2.5,6,AV,X,13.7,11.3,12.6,19,293
KIA,MODEL-596,PICKUP TRUCK - STANDARD,2.0,4,A7,X,11.9,8.0,10.1,23,230
BENTLEY,MODEL-978,COMPACT,2.0,4,A8,Z,12.1,9.0,10.7,22,246
TOYOTA,MODEL-838,FULL-SIZE,1.5,4,AV8,D,10.2,7.9,9.2,26,245
TOYOTA,MODEL-186,MID-SIZE,2.0,4,AS8,D,9.7,6.7,8.4,28,217
GMC,MODEL-686,SUV - STANDARD,2.0,6,A5,X,13.6,11.5,12.7,19,276
HYUNDAI,MODEL-454,SUBCOMPACT,1.5,4,M6,X,11.2,8.8,10.1,23,234
MASERATI,MODEL-287,TWO-SEATER,3.5,6,M5,X,14.8,12.8,13.9,17,308
SMART,MODEL-223,MID-SIZE,3.0,6,A9,N,13.3,10.2,11.9,20,224
JAGUAR,MODEL-689,SPECIAL PURPOSE VEHICLE,1.0,3,A8,X,9.2,5.1,7.4,32,166
VOLKSWAGEN,MODEL-640,FULL-SIZE,3.5,4,M6,X,12.6,10.2,11.5,20,261
BMW,MODEL-569,SUV - SMALL,2.0,4,M6,X,10.3,6.8,8.7,27,203
PORSCHE,MODEL-254,FULL-SIZE,1.5,4,A5,Z,10.4,7.3,9.0,26,204
FORD,MODEL-710,MINICOMPACT,3.0,6,A6,X,14.5,12.7,13.7,17,306
GMC,MODEL-424,MINICOMPACT,1.5,4,A9,X,9.3,6.6,8.1,29,186
NISSAN,MODEL-196,PICKUP TRUCK - STANDARD,3.0,8,A9,X,13.5,9.8,11.8,20,269
INFINITI,MODEL-139,SPECIAL PURPOSE VEHICLE,3.5,6,M5,N,15.2,12.6,14.0,17,275
LAMBORGHINI,MODEL-543,PICKUP TRUCK - SMALL,2.0,6,M6,X,10.3,7.5,9.0,26,201
PORSCHE,MODEL-878,MINICOMPACT,2.0,4,A8,X,10.1,7.4,8.9,26,206
NISSAN,MODEL-396,VAN - PASSENGER,2.5,6,AV7,X,13.9,10.5,12.4,19,284
LAMBORGHINI,MODEL-185,FULL-SIZE,2.0,4,AS10,X,11.1,7.0,9.3,25,214
VOLVO,MODEL-933,VAN - CARGO,2.5,4,AS10,D,11.5,8.1,10.0,24,262
LINCOLN,MODEL-134,VAN - PASSENGER,3.0,6,AS6,X,15.4,11.9,13.8,17,311
LAND ROVER,MODEL-807,MID-SIZE,1.0,4,M7,X,8.4,4.0,6.4,37,148
CHEVROLET,MODEL-582,COMPACT,1.5,4,AM6,X,10.9,6.1,8.7,27,198
HONDA,MODEL-829,PICKUP TRUCK - SMALL,2.5,4,AV,X,13.0,9.6,11.5,20,266
SUBARU,MODEL-814,PICKUP TRUCK - SMALL,1.0,4,AS7,X,9.2,6.7,8.1,29,190
LEXUS,MODEL-246,COMPACT,2.0,4,A5,Z,10.7,7.9,9.4,25,217
LAND ROVER,MODEL-269,TWO-SEATER,2.5,4,AS8,X,10.8,9.0,10.0,24,236
ACURA,MODEL-883,SUV - STANDARD,4.0,4,M6,Z,15.0,12.0,13.6,17,311
CHEVROLET,MODEL-734,SUV - STANDARD,2.0,6,AS9,X,12.9,8.3,10.8,22,242
MINI,MODEL-580,VAN - CARGO,3.0,8,M7,X,14.3,10.8,12.7,19,287
KIA,MODEL-357,SPECIAL PURPOSE VEHICLE,1.5,3,A6,X,9.4,7.6,8.6,27,205
MASERATI,MODEL-214,TWO-SEATER,3.0,8,M6,E,18.4,14.2,16.5,14,252
SMART,MODEL-447,SUV - STANDARD,3.5,6,A8,X,13.5,10.6,12.2,19,268
AUDI,MODEL-131,TWO-SEATER,2.0,6,M5,Z,12.4,10.2,11.4,21,270
LAND ROVER,MODEL-144,FULL-SIZE,3.0,8,AS9,X,14.3,12.6,13.5,17,306
KIA,MODEL-819,FULL-SIZE,3.0,6,A4,X,15.6,11.1,13.6,17,325
ROLLS-ROYCE,MODEL-440,SUV - SMALL,4.0,6,A7,E,19.3,15.0,17.4,14,265
NISSAN,MODEL-748,MID-SIZE,1.5,4,AV7,X,11.0,6.2,8.8,27,194
FIAT,MODEL-994,TWO-SEATER,2.5,4,AS8,X,11.4,8.2,10.0,24,229
LEXUS,MODEL-982,VAN - CARGO,4.0,6,AV,X,17.1,12.4,15.0,16,341
JAGUAR,MODEL-673,VAN - PASSENGER,2.5,6,M6,X,15.0,11.3,13.3,18,303
MASERATI,MODEL-830,VAN - CARGO,2.0,4,AV8,X,11.7,7.6,9.9,24,220
BENTLEY,MODEL-771,TWO-SEATER,2.5,4,AV10,Z,12.2,9.7,11.1,21,242
CADILLAC,MODEL-893,VAN - PASSENGER,4.0,6,A8,X,16.1,12.2,14.3,16,324
HONDA,MODEL-214,VAN - CARGO,3.0,6,AS8,X,13.6,9.6,11.8,20,258
INFINITI,MODEL-837,SUV - STANDARD,2.0,6,M5,X,11.7,8.9,10.4,23,232
CADILLAC,MODEL-345,FULL-SIZE,1.0,4,AS6,X,9.7,6.7,8.4,28,182
MASERATI,MODEL-678,PICKUP TRUCK - SMALL,2.5,6,A10,X,11.5,6.5,9.2,26,211
MINI,MODEL-114,VAN - PASSENGER,2.5,4,A4,X,10.9,7.6,9.4,25,215
CADILLAC,MODEL-812,VAN - CARGO,2.0,4,AS10,X,10.3,5.3,8.0,29,186
MASERATI,MODEL-943,MID-SIZE,2.5,4,AM7,Z,10.8,7.3,9.2,26,209
ASTON MARTIN,MODEL-849,SUV - STANDARD,2.0,6,A9,X,11.7,9.5,10.7,22,243
ACURA,MODEL-832,SPECIAL PURPOSE VEHICLE,2.5,4,AM6,Z,11.7,9.2,10.6,22,250
LINCOLN,MODEL-793,COMPACT,1.0,3,AS7,Z,9.0,4.6,7.0,34,157
SUBARU,MODEL-566,TWO-SEATER,1.0,3,AS10,X,9.8,8.0,9.0,26,198
INFINITI,MODEL-530,MID-SIZE,3.0,4,AS5,X,12.0,8.2,10.3,23,239
ACURA,MODEL-756,MID-SIZE,2.5,6,AS6,X,12.8,10.9,11.9,20,266
CHEVROLET,MODEL-915,MID-SIZE,3.0,6,A9,Z,13.4,11.0,12.3,19,277
HYUNDAI,MODEL-861,SUBCOMPACT,1.5,4,A8,X,10.4,8.8,9.7,24,217
CHRYSLER,MODEL-862,PICKUP TRUCK - STANDARD,4.0,8,M5,D,15.8,14.3,15.1,16,402
BUICK,MODEL-943,SUV - SMALL,2.5,4,AV,Z,10.9,7.8,9.5,25,221
HYUNDAI,MODEL-205,SPECIAL PURPOSE VEHICLE,3.0,6,AV10,X,12.7,9.5,11.3,21,263
NISSAN,MODEL-762,VAN - PASSENGER,2.5,6,AS6,X,12.9,9.5,11.4,21,257
HONDA,MODEL-416,PICKUP TRUCK - STANDARD,3.5,8,A8,N,15.7,12.6,14.3,16,276
LINCOLN,MODEL-444,TWO-SEATER,2.5,4,AS6,Z,11.1,6.5,9.0,26,202
VOLKSWAGEN,MODEL-121,SUV - STANDARD,3.5,6,AS5,D,12.1,8.5,10.5,22,283
ROLLS-ROYCE,MODEL-456,MINICOMPACT,2.0,6,A6,X,12.2,10.5,11.4,21,264
HYUNDAI,MODEL-800,MINICOMPACT,1.5,3,M7,X,11.6,9.3,10.6,22,231
BENTLEY,MODEL-528,PICKUP TRUCK - STANDARD,3.0,6,AV10,X,13.9,10.2,12.2,19,273
DODGE,MODEL-974,VAN - PASSENGER,1.0,4,M6,X,10.0,5.2,7.8,30,179
ASTON MARTIN,MODEL-989,SUBCOMPACT,2.5,4,A10,X,12.9,10.9,12.0,20,277
INFINITI,MODEL-569,SUV - SMALL,2.5,6,M5,Z,11.7,8.7,10.4,23,230
NISSAN,MODEL-321,SUV - SMALL,1.5,3,A9,X,10.6,7.9,9.4,25,214
JAGUAR,MODEL-719,PICKUP TRUCK - SMALL,2.5,4,A6,X,11.9,9.4,10.8,22,252
TOYOTA,MODEL-221,FULL-SIZE,3.5,6,AS10,Z,13.8,9.9,12.0,20,273
GMC,MODEL-496,VAN - CARGO,2.5,4,AS7,X,14.8,12.5,13.8,17,320
MINI,MODEL-934,COMPACT,1.0,4,M5,Z,8.3,4.9,6.8,35,162
GMC,MODEL-543,SUV - SMALL,2.5,4,A6,E,16.6,10.5,13.9,17,211
GENESIS,MODEL-791,PICKUP TRUCK - STANDARD,2.0,4,A10,X,10.4,8.8,9.7,24,222
HONDA,MODEL-676,SUV - SMALL,2.0,4,AS6,X,11.0,6.9,9.2,26,209
RAM,MODEL-301,SPECIAL PURPOSE VEHICLE,2.5,6,AS9,N,13.2,10.9,12.2,19,226
MINI,MODEL-873,VAN - CARGO,3.5,6,A8,Z,15.6,13.4,14.6,16,331
TOYOTA,MODEL-914,SUV - STANDARD,3.0,8,AM7,N,15.2,12.8,14.1,17,266
MERCEDES-BENZ,MODEL-773,SUV - SMALL,2.5,4,AS10,X,11.6,8.9,10.4,23,236
ACURA,MODEL-598,MINICOMPACT,1.0,3,M7,Z,8.5,5.9,7.3,32,164
RAM,MODEL-119,PICKUP TRUCK - SMALL,3.0,4,AM6,Z,14.2,12.1,13.3,18,309
BMW,MODEL-109,STATION WAGON - MID-SIZE,3.0,8,AS7,D,12.4,8.3,10.6,22,281
VOLVO,MODEL-956,PICKUP TRUCK - SMALL,2.0,4,A9,Z,10.1,7.5,8.9,26,209
GENESIS,MODEL-116,VAN - CARGO,3.5,6,A10,Z,13.4,9.6,11.7,20,270
LINCOLN,MODEL-642,MINICOMPACT,2.0,4,M6,X,9.2,7.6,8.5,28,185
INFINITI,MODEL-281,MID-SIZE,2.0,6,AS6,E,15.5,13.5,14.6,16,222
CHRYSLER,MODEL-972,MINICOMPACT,2.0,6,A5,D,10.5,8.9,9.8,24,268
MAZDA,MODEL-765,SPECIAL PURPOSE VEHICLE,2.0,4,AV,X,10.7,6.6,8.9,26,212
ACURA,MODEL-431,STATION WAGON - MID-SIZE,1.5,4,AS9,Z,11.0,8.7,10.0,24,224
CADILLAC,MODEL-865,MINICOMPACT,1.0,4,AV10,X,8.6,4.9,6.9,34,162
MAZDA,MODEL-706,SUV - SMALL,1.0,3,AV8,X,8.5,6.8,7.7,31,176
FORD,MODEL-857,MID-SIZE,1.0,4,AM6,X,10.2,5.4,8.0,29,182
CADILLAC,MODEL-718,FULL-SIZE,2.0,4,A4,X,11.8,9.3,10.7,22,237
MERCEDES-BENZ,MODEL-652,STATION WAGON - MID-SIZE,2.0,4,AS6,X,10.2,6.4,8.5,28,190
ACURA,MODEL-439,PICKUP TRUCK - STANDARD,3.5,6,A10,D,13.2,10.1,11.8,20,303
ROLLS-ROYCE,MODEL-947,VAN - CARGO,2.0,4,AS5,Z,11.9,8.3,10.3,23,241
MITSUBISHI,MODEL-138,VAN - CARGO,2.5,6,M5,N,12.6,9.2,11.1,21,200
KIA,MODEL-391,SUV - SMALL,2.0,4,A8,D,9.1,4.8,7.2,33,189
LAMBORGHINI,MODEL-480,STATION WAGON - MID-SIZE,2.5,4,AS6,X,12.6,9.3,11.1,21,261
HYUNDAI,MODEL-869,PICKUP TRUCK - SMALL,1.5,4,AS9,X,10.8,7.4,9.3,25,216
MINI,MODEL-711,STATION WAGON - MID-SIZE,2.0,4,AM7,X,12.1,8.2,10.3,23,236
BENTLEY,MODEL-866,PICKUP TRUCK - STANDARD,4.5,8,AS5,X,18.1,15.9,17.1,14,396
MERCEDES-BENZ,MODEL-771,VAN - CARGO,2.0,4,A5,X,11.7,7.4,9.8,24,222
LAMBORGHINI,MODEL-246,MID-SIZE,1.5,4,AV10,X,10.7,7.3,9.2,26,210
VOLKSWAGEN,MODEL-197,FULL-SIZE,3.0,6,A5,X,12.3,9.8,11.2,21,246
GMC,MODEL-394,SUBCOMPACT,2.0,4,A9,X,11.4,9.8,10.7,22,241
VOLKSWAGEN,MODEL-382,TWO-SEATER,3.0,6,A8,X,14.2,10.0,12.3,19,287
ASTON MARTIN,MODEL-935,MID-SIZE,2.5,6,AS7,X,11.4,6.4,9.2,26,207
RAM,MODEL-641,SUBCOMPACT,2.5,6,AV7,Z,11.7,9.9,10.9,22,247
SMART,MODEL-482,VAN - PASSENGER,3.5,6,A6,X,15.0,12.6,13.9,17,328
GENESIS,MODEL-551,VAN - CARGO,3.0,6,AM7,X,14.2,11.5,13.0,18,300
JEEP,MODEL-969,MINICOMPACT,1.5,4,M6,Z,9.4,7.4,8.5,28,198
VOLKSWAGEN,MODEL-203,SUV - STANDARD,3.5,6,M6,E,19.0,14.0,16.8,14,244
ASTON MARTIN,MODEL-695,MID-SIZE,2.0,4,M6,X,10.6,5.8,8.4,28,199
JAGUAR,MODEL-240,SUV - STANDARD,2.0,4,AM7,X,10.8,5.8,8.6,27,201
LEXUS,MODEL-935,SUV - STANDARD,3.0,4,AS8,X,12.8,10.2,11.6,20,258
JEEP,MODEL-734,VAN - CARGO,2.0,6,AS6,X,12.7,11.0,11.9,20,283
HYUNDAI,MODEL-887,TWO-SEATER,1.0,4,AV7,Z,9.6,6.9,8.4,28,192
MAZDA,MODEL-446,MINICOMPACT,1.0,3,AM7,X,7.3,4.9,6.2,38,142
FIAT,MODEL-628,SUV - STANDARD,2.5,6,AS5,X,14.0,10.6,12.5,19,294
RAM,MODEL-512,FULL-SIZE,2.0,4,A6,N,12.9,9.4,11.3,21,209
VOLKSWAGEN,MODEL-650,COMPACT,1.5,4,AS9,Z,10.3,5.9,8.3,28,195
JEEP,MODEL-477,SUV - SMALL,2.5,6,AS10,Z,12.0,9.3,10.8,22,246
FIAT,MODEL-362,STATION WAGON - MID-SIZE,2.0,6,A7,X,12.9,8.9,11.1,21,259
SUBARU,MODEL-104,STATION WAGON - SMALL,1.5,4,AM7,X,11.2,6.4,9.0,26,211
LAND ROVER,MODEL-487,SUV - STANDARD,3.5,6,AS8,X,15.8,11.1,13.7,17,319
DODGE,MODEL-256,FULL-SIZE,2.5,4,AS6,X,12.2,8.9,10.7,22,252
HONDA,MODEL-986,SPECIAL PURPOSE VEHICLE,3.0,4,A6,X,12.3,10.1,11.3,21,251
MITSUBISHI,MODEL-485,VAN - PASSENGER,3.0,8,AS10,X,15.0,10.4,12.9,18,296
VOLKSWAGEN,MODEL-358,STATION WAGON - SMALL,2.5,4,A6,Z,13.0,11.2,12.2,19,282
MITSUBISHI,MODEL-310,SUV - SMALL,2.0,4,A7,D,9.7,7.1,8.5,28,236
